SMILES,InChIKey,AromaticRingCount,HBondDonorCount,HBondAcceptorCount,FractionCarbonSP3,HeteroatomCount,HeterocycleCount,RotatableBondCount,MolecularMass,DegreeOfUnsaturation,MinEllipsoidLength,MaxDistance,LongestPiChain,LinkerLength,MaxAbsorbanceWavelength,MaxAbsorbanceWavelength_1,MolecularMass,MaxAbsorbanceWavelength
CC1(C)C(=CC=CC=CC2=[N+](CCCCS(=O)(=O)[O-])c3ccc([As]4SCCS4)cc3C2(C)C)N(CCCCS(=O)(=O)O)c2ccc([As]3SCCS3)cc21,QIWUAZYHUQBKNR-UHFFFAOYSA-N,2,1,10,0.486486486,16,4,15,959,16,947,23,16,6,677.4681449,677,959,677.4681449
CC1(C)C(=CC=CC=CC2=[N+](CCCS(=O)(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)N(CCCCCC([O-])=NCCCCCCN2C(=O)C=CC2=O)c2ccc(S(=O)(=O)[O-])cc21,ABCCZQUSYBNXBH-UHFFFAOYSA-K,2,0,14,0.454545455,19,3,22,926,22,1294,26,16,6,660.2468485,660,926,660.2468485
C[N+]1=C(C=CC=C2N(CCCS(=O)(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(N=C([O-])CCl)ccc21,IMJHPLNUVXYGKB-UHFFFAOYSA-M,2,1,8,0.379310345,13,2,9,635,15,783,19,17,4,612.1609741,612,635,612.1609741
Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1ccc2c(S(=O)(=O)O)ccc(N)c2c1O,AICLBRRCLVJTST-UHFFFAOYSA-N,6,7,14,0.058823529,20,0,8,793,24,1172,23,23,3,439.41754,439,793,439.41754
CC1(C)C(=CC=CC2=[N+](CCCCCCON3C(=O)CCC3=O)c3ccc(S(=O)(=O)O)cc3C2(C)C)N(CCCCCCON2C(=O)CCC2=O)c2ccc(S(=O)(=O)[O-])cc21,DUPPOWTYYIIKOJ-UHFFFAOYSA-N,2,1,12,0.511627907,18,4,20,883,19,1222,24,14,4,580.4517137,580,883,580.4517137
C[N+]1=C(C=CC=C2N(CCCCCC(O)=NCCN3C(=O)C=CC3=O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21,LOVTXMZOYVAEPC-UHFFFAOYSA-N,2,2,9,0.388888889,15,3,13,739,18,610,22,14,4,555.6823557,556,739,555.6823557
CC(C)N1C=CC(=Cc2ccc3ccccc3[n+]2C(C)C)c2ccccc21,TYFOKKOWQOKKCH-UHFFFAOYSA-N,3,0,1,0.24,2,2,3,356,13,183,14,11,2,521.2151012,521,356,521.2151012
Cc1ccc(Nc2ccc(Nc3ccc(C)cc3S(=O)(=O)O)c3c2C(=O)c2cccc(O)c2C3=O)c(S(=O)(=O)O)c1,QNCHUVVZYAZOHD-UHFFFAOYSA-N,4,5,9,0.071428571,13,0,6,595,19,359,15,13,2,625.3575561,625,595,625.3575561
CC[n+]1c(CC2C=C(C)N=C(c3ccccc3)N2C)ccc2ccccc12,WNJQWMVHCPGIAR-UHFFFAOYSA-N,3,0,2,0.25,3,2,4,356,13,242,15,7,1,435.1915249,435,356,435.1915249
CC1(C)C(=CC=CC=CC2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)N(CCCCCC(=O)[O-])c2ccc(S(=O)(=O)O)cc21,KCJWQEQRJODNIT-UHFFFAOYSA-M,2,2,9,0.432432432,14,2,17,742,17,917,20,16,6,687.2925818,687,742,687.2925818
CC[N+]1=C(C=CC=C2N(CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21,SOVMUUCAZOFIQP-UHFFFAOYSA-N,2,1,10,0.428571429,15,3,12,728,17,413,20,14,4,571.4504641,571,728,571.4504641
CCN1C(=CC=CC=CC2=[N+](CCCCCC(O)=NCCCN=[N+]=[N-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21,LSISYTNZXRYXJU-UHFFFAOYSA-N,2,2,8,0.444444444,15,2,16,739,17,576,21,16,6,670.1181686,670,739,670.1181686
CN1C(=CC=CC=CC2=[N+](CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,QDXSFIRROAQGSO-UHFFFAOYSA-M,2,0,11,0.388888889,15,3,12,739,19,590,22,16,6,687.1813932,687,739,687.1813932
CCN1C(=CC=CC=CC2=[N+](CCCCCC(O)=NCCc3ccc(O)cc3)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21,NHSJCIBSNKLAMA-UHFFFAOYSA-N,3,3,8,0.365853659,13,2,15,776,19,505,26,16,6,681.8748695,682,776,681.8748695
CC[N+]1=C(C=CC=C2N(CCCCCC(O)=NCCc3ccc(O)cc3)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21,JPXIOSIRIWBDIC-UHFFFAOYSA-N,3,3,8,0.384615385,13,2,14,750,18,658,23,14,4,583.0199584,583,750,583.0199584
Cc1ccc(Nc2ccc(N=Nc3ccc(N=Nc4cccc(S(=O)(=O)[O-])c4)c4ccccc34)c3cccc(S(=O)(=O)[O-])c23)cc1,JLGHRHTZYNYXMD-UHFFFAOYSA-L,6,1,11,0.03030303,13,0,8,650,26,1382,23,20,3,470.1390348,470,650,470.1390348
O=S(=O)([O-])c1cccc(N=Nc2ccc(N=Nc3ccc(Nc4ccccc4)c4c(S(=O)(=O)[O-])cccc34)c3ccccc23)c1,DJRZPZBRKRAGBD-UHFFFAOYSA-L,6,1,11,0.0,13,0,8,636,26,1022,21,20,3,463.9627856,464,636,463.9627856
Cc1ccc(Nc2ccc(Nc3ccc(C)cc3S(=O)(=O)O)c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)O)c1,BGBDMEPBLWJCHI-UHFFFAOYSA-N,4,4,8,0.071428571,12,0,6,579,19,639,16,13,2,619.5346989,620,579,619.5346989
O=S(=O)(O)c1cc([O-])c(N=Nc2ccc3ccccc3c2O)c2ccccc12,BRDGZOLJYALNOY-UHFFFAOYSA-M,4,2,6,0.0,8,0,3,393,16,109,11,12,3,481.0879366,481,393,481.0879366
c1ccc2c(c1)C1=Nc3[n-]c(c4ccccc34)N=C3N=C([N-]c4[n-]c(c5ccccc45)[N-]C2=N1)c1ccccc13,VHWVDGHWIJRPMN-UHFFFAOYSA-N,6,0,4,0.0,8,5,0,513,31,160,13,13,0,579.6382267,580,513,579.6382267
Cc1ccc(Nc2ccc(Nc3ccc(C)cc3S(=O)(=O)O)c3c2C(=O)c2c([O-])ccc([O-])c2C3=O)c(S(=O)(=O)O)c1,RDSNLCVUSJLCGP-UHFFFAOYSA-L,4,4,10,0.071428571,14,0,6,609,21,180,14,13,2,626.3217162,626,609,626.3217162
Cc1ccc(Nc2ccc(Nc3ccc(C)cc3S(=O)(=O)[O-])c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)[O-])c1,BGBDMEPBLWJCHI-UHFFFAOYSA-L,4,2,10,0.071428571,12,0,6,577,21,310,16,13,2,623.0653351,623,577,623.0653351
Cc1ccc(Nc2ccc(N=Nc3ccc(N=Nc4cccc(S(=O)(=O)O)c4)c4ccccc34)c3cccc(S(=O)(=O)O)c23)cc1,JLGHRHTZYNYXMD-UHFFFAOYSA-N,6,3,9,0.03030303,13,0,8,652,24,957,23,20,3,465.2128123,465,652,465.2128123
O=S(=O)(O)c1cccc(N=Nc2ccc(N=Nc3ccc(Nc4ccccc4)c4c(S(=O)(=O)O)cccc34)c3ccccc23)c1,DJRZPZBRKRAGBD-UHFFFAOYSA-N,6,3,9,0.0,13,0,8,638,24,1497,22,20,3,458.4098601,458,638,458.4098601
CCOc1ccc(Nc2ccc(C(=C3C=CC(=[N+](CC)Cc4cccc(S(=O)(=O)O)c4)C=C3C)c3ccc(N(CC)Cc4cccc(S(=O)(=O)O)c4)cc3C)cc2)cc1,YVNQAIFQFWTPLQ-UHFFFAOYSA-O,5,3,7,0.212765957,12,0,15,833,24,424,25,15,2,584.3783188,584,833,584.3783188
O=S(=O)(O)c1cc(O)c(N=Nc2ccc3ccccc3c2O)c2ccccc12,BRDGZOLJYALNOY-UHFFFAOYSA-N,4,3,6,0.0,8,0,3,394,15,319,15,12,3,455.5467443,456,394,455.5467443
c1ccc2c(c1)C1=NC2=NC2=NC(=NC3=NC(=NC4=NC(=N1)c1ccccc14)c1ccccc13)c1ccccc12,LOWPZDCTVDWTBN-UHFFFAOYSA-N,4,0,8,0.0,8,5,0,513,29,115,13,13,0,615.6999362,616,513,615.6999362
O=S(=O)(O)c1cc(O)c(N=Nc2c(O)ccc3ccccc23)c2ccccc12,ZMLWOOMWRCRLCH-UHFFFAOYSA-N,4,3,6,0.0,8,0,3,394,15,231,14,11,3,462.1730125,462,394,462.1730125
O=S(=O)(O)c1cc(O)c(N=Nc2c([O-])ccc3ccccc23)c2ccccc12,ZMLWOOMWRCRLCH-UHFFFAOYSA-M,4,2,6,0.0,8,0,3,393,16,477,13,11,3,499.205561,499,393,499.205561
O=S(=O)([O-])c1cccc2c(N=Nc3ccc(N=Nc4ccc(Nc5ccccc5)c5c(S(=O)(=O)[O-])cccc45)c4ccccc34)cccc12,JWRKFFQQNVQJLW-UHFFFAOYSA-L,7,1,11,0.0,13,0,8,686,29,838,22,21,3,468.160787,468,686,468.160787
CCOc1ccc(Nc2ccc(C(=C3C=CC(=[N+](CC)Cc4cccc(S(=O)(=O)[O-])c4)C=C3C)c3ccc(N(CC)Cc4cccc(S(=O)(=O)[O-])c4)cc3C)cc2)cc1,YVNQAIFQFWTPLQ-UHFFFAOYSA-M,5,1,9,0.212765957,12,0,15,831,26,397,22,15,2,600.9582254,601,831,600.9582254
O=S(=O)(O)c1cccc2c(N=Nc3ccc(N=Nc4ccc(Nc5ccccc5)c5c(S(=O)(=O)O)cccc45)c4ccccc34)cccc12,JWRKFFQQNVQJLW-UHFFFAOYSA-N,7,3,9,0.0,13,0,8,688,27,1130,23,21,3,478.0842377,478,688,478.0842377
Clc1cc2c(c(Cl)c1Cl)-c1nc3nc(nc4nc(nc5[n-]c([n-]c-2n1)c1c(Cl)c(Cl)c(Cl)c(Cl)c51)-c1c(Cl)c(Cl)c(Cl)c(Cl)c1-4)-c1c(Cl)c(Cl)c(Cl)c(Cl)c1-3,BLMXUSBBCCRYCF-UHFFFAOYSA-N,6,0,6,0.0,23,5,0,1029,30,159,14,13,0,575.8191684,576,1029,575.8191684
Cc1ccc(Nc2ccc([O-])c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)O)c1,XXQVCGHGQCAKKA-UHFFFAOYSA-M,3,2,6,0.047619048,8,0,3,408,16,101,11,11,2,611.4386322,611,408,611.4386322
CCOc1ccc(Nc2ccc(C(=C3C=CC(=[N+](CC)Cc4cccc(S(=O)(=O)[O-])c4)C=C3)c3ccc(N(CC)Cc4cccc(S(=O)(=O)[O-])c4)cc3)cc2)cc1,PLVPREXUKUFADG-UHFFFAOYSA-M,5,1,9,0.177777778,12,0,15,803,26,684,23,15,2,608.3945655,608,803,608.3945655
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2Cl)cc1,PYALRJHHXIQCEI-UHFFFAOYSA-N,2,0,1,0.173913043,3,0,3,364,12,151,14,10,2,624.0604214,624,364,624.0604214
Cc1ccc(Nc2ccc(Nc3ccc(C)cc3)c3c2C(=O)c2ccccc2C3=O)cc1,TVRGPOFMYCMNRB-UHFFFAOYSA-N,4,2,4,0.071428571,4,0,4,419,19,374,16,13,2,637.1699574,637,419,637.1699574
Nc1cc(O)c(O)c2c1C(=O)c1c(O)c(O)cc(N)c1C2=O,XBVUXRZERLDXMU-UHFFFAOYSA-N,2,6,8,0.0,8,0,0,302,11,2510,10,9,1,566.8696526,567,302,566.8696526
O=S(=O)([O-])c1cc([O-])c2c(N=Nc3ccc(Nc4ccccc4)c4c(S(=O)(=O)O)cccc34)cc(S(=O)(=O)[O-])cc2c1,QFVHZQCOUORWEI-UHFFFAOYSA-K,5,2,12,0.0,16,0,7,627,22,603,18,15,3,497.3258983,497,627,497.3258983
Cc1ccc(Nc2ccc(O)c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)O)c1,XXQVCGHGQCAKKA-UHFFFAOYSA-N,3,3,6,0.047619048,8,0,3,409,15,233,14,11,2,587.0282913,587,409,587.0282913
CC(C)CCN1C=CC(=Cc2cc[n+](CCC(C)C)c3ccccc23)c2ccccc21,OPYVFVSPWOXGSM-UHFFFAOYSA-N,3,0,1,0.344827586,2,2,7,412,13,564,18,10,2,522.5700093,523,412,522.5700093
O=S(=O)(O)c1cc(O)c2c(N=Nc3ccc(Nc4ccccc4)c4c(S(=O)(=O)O)cccc34)cc(S(=O)(=O)O)cc2c1,QFVHZQCOUORWEI-UHFFFAOYSA-N,5,5,10,0.0,16,0,7,630,19,570,16,15,3,434.0651111,434,630,434.0651111
CCN1C(=CC(C)=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21,DGBHUSPLAMIWPQ-UHFFFAOYSA-N,3,0,3,0.227272727,4,2,4,380,12,421,16,13,4,512.3941225,512,380,512.3941225
CCN1C(=CC=C2CCCC(C=CC3=[N+](CC)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,CIGDKFCYUOGCBY-UHFFFAOYSA-N,2,0,1,0.382352941,3,2,5,512,15,745,18,18,3,771.1382309,771,512,771.1382309
CN1C(=CC=C2CCCC(C=CC3=[N+](C)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,GDIYMWAMJKRXRE-UHFFFAOYSA-N,2,0,1,0.34375,3,2,3,484,15,1863,21,18,3,779.5382687,780,484,779.5382687
CC1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1N=Nc1ccc(C)c(S(=O)(=O)Nc2ccccc2)c1,DNNYNDQWWWDTPP-UHFFFAOYSA-N,3,2,8,0.130434783,13,1,7,528,16,464,19,6,2,382.7523168,383,528,382.7523168
Nc1cc(S(=O)(=O)O)c([O-])c2c1C(=O)c1c([O-])c(S(=O)(=O)O)cc(N)c1C2=O,MVWQCFNJWMLYDF-UHFFFAOYSA-L,2,4,10,0.0,14,0,2,428,13,190,12,7,1,594.0081087,594,428,594.0081087
O=C1c2c(O)cc(O)c(O)c2C(=O)c2c(O)c(O)cc(O)c21,NEVTZWLESVDYDA-UHFFFAOYSA-N,2,6,8,0.0,8,0,0,304,11,45800000000,10,8,1,518.1680786,518,304,518.1680786
CC[N+]1=C(C=CC=C2N(CCCCCC(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21,YDNYBBRGPORVRT-UHFFFAOYSA-M,2,1,8,0.419354839,12,2,11,630,15,520,20,14,4,579.6128019,580,630,579.6128019
CC[N+]1=C(C=CC=C2N(CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,SOVMUUCAZOFIQP-UHFFFAOYSA-M,2,0,11,0.428571429,15,3,12,727,18,279,18,14,4,576.0110363,576,727,576.0110363
CC1(C)C(=CC=CC2=[N+](CCCCCC(=O)[O-])c3ccc(S(=O)(=O)O)cc3C2(C)C)N(CCCCCC(=O)O)c2ccc(S(=O)(=O)[O-])cc21,AYFNGAVPORGJOD-UHFFFAOYSA-M,2,2,9,0.457142857,14,2,16,716,16,1699,19,14,4,584.1068883,584,716,584.1068883
CCN1C(=CC=CC=CC2=[N+](CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,WXWLHDCCGVWTDZ-UHFFFAOYSA-M,2,0,11,0.405405405,15,3,13,753,19,525,21,16,6,686.4277967,686,753,686.4277967
CCN1C(=CC=C2CCCC(C=CC3=[N+](CC)c4ccc(S(=O)(=O)O)cc4C3(C)C)=C2Cl)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,PENBAKBZXVOVJL-UHFFFAOYSA-N,2,1,6,0.382352941,11,2,7,671,16,2089,23,18,3,790.755216,791,671,790.755216
O=S(=O)([O-])c1ccc(N=Nc2c([O-])ccc3cccc(S(=O)(=O)O)c23)c2ccccc12,YQTZTEYXOZEDSY-UHFFFAOYSA-L,4,1,8,0.0,11,0,4,456,17,246,13,11,3,506.4731567,506,456,506.4731567
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(Cc3ccccc3)Cc3cccc(S(=O)(=O)O)c3)cc2)c(S(=O)(=O)O)c1,PCDMOSXRPCKDLJ-UHFFFAOYSA-O,4,2,6,0.162162162,11,0,10,685,20,698,18,10,2,609.8841871,610,685,609.8841871
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)Cc3cccc(S(=O)(=O)O)c3)cc2)cc1S(=O)(=O)O,DCTXQQVUQIODBO-UHFFFAOYSA-O,3,2,6,0.193548387,11,0,8,609,16,456,19,10,2,606.1142112,606,609,606.1142112
CC1=NN(c2ccccc2)C(=O)C1N=Nc1ccc(-c2ccc(N=NC3C(=O)N(c4ccccc4)N=C3C)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1,WBBRXOTXXGMTND-UHFFFAOYSA-L,4,0,14,0.125,18,2,9,713,26,1036,25,11,2,412.6050194,413,713,412.6050194
O=S(=O)(O)c1cc(N=Nc2c([O-])ccc3ccccc23)ccc1-c1ccc(N=Nc2c([O-])ccc3ccccc23)cc1S(=O)(=O)O,CPERTUHFXCKOES-UHFFFAOYSA-L,6,2,10,0.0,14,0,7,653,26,1690,22,21,3,471.2813809,471,653,471.2813809
Cc1cc(C2(c3cc(C)c(O)c(C(=O)O)c3)OS(=O)(=O)c3ccccc32)cc(C(=O)O)c1O,LGKSNCHFKPHIJM-UHFFFAOYSA-N,3,4,7,0.130434783,10,1,4,470,15,89,12,5,2,378.8107249,379,470,378.8107249
COc1cc2c3c(ccc4c5c(OC)cc6c7c(ccc(c1c34)c57)C(=O)c1ccccc1-6)C(=O)c1ccccc1-2,QAYWRCZPILDEGZ-UHFFFAOYSA-N,7,0,4,0.055555556,4,0,2,517,27,479,18,15,1,515.0120439,515,517,515.0120439
CC1(C)C(=CC=CC2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)O)cc3C2(C)C)N(CCCCCC(=O)O)c2ccc(S(=O)(=O)O)cc21,AYFNGAVPORGJOD-UHFFFAOYSA-O,2,4,7,0.457142857,14,2,16,718,14,779,21,14,4,578.9083977,579,718,578.9083977
